domain,length,entropy,label
hayof.ai,5,2.321928094887362,legit
131cmhf3nhgrneao2r.net,18,3.6143694458867563,dga
picenekihuxi.biz,12,3.0220552088742,legit
lelezifeni-jad.co,14,3.182005814760214,legit
q3rxt-04ppos9vomz.co,17,3.852168723603281,dga
xetevakiyu-qeka.biz,15,3.323231428797621,legit
sifihena.co,8,2.75,legit
xatoja.top,6,2.2516291673878226,legit
qitani.site,6,2.2516291673878226,legit
cumalajanub.com,11,2.8453509366224363,legit
jpmva8vts1rdbromww22ns.biz,22,3.913977073182752,dga
biqesab-toti.org,12,3.084962500721156,legit
maqoda.site,6,2.2516291673878226,legit
jucagu.com,6,2.2516291673878226,legit
yjmlk6umfi46.co,12,3.2516291673878226,dga
bibobag.ai,7,2.1280852788913944,legit
neximi.top,6,2.2516291673878226,legit
qclghvt3vqiwcfr8x5cuv.co,21,3.8442328987631917,dga
towuqimoxuse.top,12,3.2516291673878226,legit
vatituw.io,7,2.5216406363433186,legit
cejalobiluh.org,11,3.2776134368191157,legit
5vwoo3ojo-l8lsw.ai,15,3.106890595608519,dga
hioi2o9pzmrzvhao1vr3b.top,21,3.6897037321995474,dga
bageb.co,5,1.9219280948873623,legit
220fyc9ydd40c.net,13,2.931208948910323,dga
vufn8p8rg2v9nj7x25.io,18,3.7254805569978675,dga
toyulum.net,7,2.521640636343318,legit
a0536bmda7nao.io,13,3.334679141051595,dga
1uchuge1sx1e.site,12,2.8553885422075336,dga
lt9o2kfdt2uw1.ai,13,3.3927474104487847,dga
p7cnq9-zg0p0hwqo.com,16,3.625,dga
m673as6h9rd0hgri9n578.org,21,3.916126946588284,dga
9grm91thtsky8m.biz,14,3.378783493486176,dga
damuyos.io,7,2.807354922057604,legit
hibinusepa-cod.net,14,3.6644977792004623,legit
vizebet.io,7,2.5216406363433186,legit
vgdb-vtds7kyh116zzbj.biz,20,3.821928094887362,dga
vobefobamufa.co,12,2.918295834054489,legit
mxx1gh9dwl6gg-etq.top,17,3.690116517593665,dga
hofecu.org,6,2.584962500721156,legit
vugameludi.net,10,3.121928094887362,legit
fafura-mat.site,10,2.6464393446710153,legit
fayepavu.top,8,2.75,legit
ahz2li14jhy117qeypu89.ai,21,3.975418017913833,dga
bk4gyj7peo-r1ijlmf9.io,19,4.142664355548848,dga
hfbyvo51ekocip6gg1umtvqz.co,24,4.251629167387822,dga
ly79y9urzn-zpv54mht9kgd58.net,25,4.213660689688186,dga
uyqovpf1wlvtu5uuasn7z.ai,21,3.916126946588284,dga
zacoxakep.ai,9,2.94770277922009,legit
basewifeyax.org,11,3.095795255000934,legit
badonabutebo.biz,12,2.8553885422075336,legit
quduguquyo.net,10,2.321928094887362,legit
nesefusebu-sop.top,14,2.9852281360342516,legit
zl3lh2a7vht1st09-cli4.com,21,3.975418017913833,dga
njkhxi2d0vh1.co,12,3.4182958340544896,dga
n4h-4hcb9r31le.com,14,3.521640636343319,dga
vewaz5zmzel-aeozy2.ai,18,3.3502090290998976,dga
5zn9ojxybpe8wbqst1ywozq.org,23,4.00182282562223,dga
hotuwad.info,7,2.807354922057604,legit
vugou1ayj9krx0.io,14,3.6644977792004623,dga
33k2kn-ycdttn27aeon2mczk.info,24,3.7406015629507228,dga
kuwarareh.net,9,2.725480556997868,legit
uesre8dpop1jjtj9be.org,18,3.530493056757482,dga
fsuv5irqa7gu1cvvghu.ai,19,3.642149881636904,dga
jerak.info,5,2.321928094887362,legit
j3p0ion7e6r86mzo-ga7ok.org,22,4.0614821867207755,dga
smqt6tc0ozymxaq48crb.biz,20,3.9219280948873627,dga
j21-mwd17jh3wf2hyh8qom9pusw.ai,27,4.106377316818026,dga
jademe.org,6,2.2516291673878226,legit
yuxulisuga.org,10,2.8464393446710154,legit
zjlkfzzfy5skjeq9wj732k2fj.io,25,3.6732696895151076,dga
z67abop1tng709qs1p3.org,19,3.9321380397593746,dga
jagagidijoj.co,11,2.481714572986073,legit
hibazohepaz-ku.co,14,3.378783493486176,legit
9m1lqrqj49d1q.org,13,3.0269868333592873,dga
vozucinabapu.biz,12,3.2516291673878226,legit
lumiloyomipo-kin.ai,16,3.1556390622295662,legit
mupaxe-xip.info,10,2.9219280948873623,legit
leborove.com,8,2.5,legit
webefikeqo.io,10,2.8464393446710154,legit
blw3s2k2zse9orb-jndf63u.net,23,4.1757358691004915,dga
hz6-1r9y88y51x4x.top,16,3.5,dga
ibm27-jur1pegzyi.site,16,3.875,dga
pobosa.co,6,2.2516291673878226,legit
rulukaj.biz,7,2.521640636343318,legit
icxvnlp6mt51mzkqvv0oan.biz,22,4.0614821867207755,dga
surew.co,5,2.321928094887362,legit
py409bpqvd7r9me.net,15,3.640223928941852,dga
ysuo7qpgm01m19runv5f.com,20,4.021928094887363,dga
hibet.ai,5,2.321928094887362,legit
zaboka.ai,6,2.2516291673878226,legit
luvopujes.io,9,2.94770277922009,legit
loc-fgd8m9etjnca8vh92zy.org,23,4.2626923908396215,dga
vumovobivar.site,11,2.8453509366224368,legit
dotapinice-same.info,15,3.5068905956085183,legit
r8reld493wdy6f-rbr6jpoxwa4.ai,26,4.085055102756477,dga
yovugejocad.io,11,3.2776134368191157,legit
hutivuqidu.info,10,2.6464393446710157,legit
kogus.ai,5,2.321928094887362,legit
woyigazav.biz,9,2.94770277922009,legit
kamujiro-foj.io,12,3.2516291673878226,legit
vupijexoy.biz,9,3.169925001442312,legit
6fhtwhe9sfglpr3.ai,15,3.6402239289418516,dga
chp15hzw9s1onb.biz,14,3.521640636343319,dga
matelelihedu.top,12,3.0220552088742,legit
i7m9i-v93y3zvqsrfbdw3m.io,22,3.879664004902594,dga
jocazoyo-woga.site,13,2.9312089489103235,legit
dg15ad587psy9w8i.info,16,3.625,dga
tusopakozuvo-paz.biz,16,3.202819531114783,legit
gegerub.co,7,2.2359263506290326,legit
kaceyib.io,7,2.807354922057604,legit
2u45kikk2r8g4o3yrs3g4bhu.co,24,3.7720552088742005,dga
fayawazo-zam.io,12,2.751629167387823,legit
7co-epizr9ryxp3s6.io,17,3.852168723603281,dga
sogoza.info,6,2.2516291673878226,legit
fihewigut.net,9,2.94770277922009,legit
qavat.biz,5,1.9219280948873623,legit
vogibazaniwi-ku.ai,15,3.4565647621309536,legit
fuboyav.co,7,2.807354922057604,legit
pipeyu.net,6,2.2516291673878226,legit
dfowdwt67ym0wb8xj2omzc.com,22,3.9705730958116847,dga
bipacejivu.co,10,3.121928094887362,legit
q8fa0h7f1-dvpoj342luj.biz,21,4.20184123230257,dga
pdp4-iy4ucr8afexvfaq5buv.io,24,4.084962500721156,dga
uy7vbgzdvmk2-t0ugk3no.top,21,4.011365041826379,dga
tg8v8upz3vuesfyqp9kl.io,20,3.9219280948873627,dga
4y2efnk9cmgoa-msabv8.site,20,4.1219280948873624,dga
dikijamocor-wu.ai,14,3.521640636343319,legit
zxqzsmrlvexmcnmnhw3.info,19,3.681880802803402,dga
porawitapig.org,11,2.9139770731827523,legit
3bsdwtqd2zwlbe.site,14,3.378783493486176,dga
7to-egxp3wkwzb4sinw6bs.io,22,4.0614821867207755,dga
boq59khbto06.net,12,3.2516291673878226,dga
8c9c7m7538d7mawmfe.ai,18,3.4193819456463714,dga
bukinu.com,6,2.2516291673878226,legit
z0zbf6m11tcexxu7y.co,17,3.7345216647797517,dga
nihak5h2zr-19ygz4dhhey.site,22,3.913977073182752,dga
goramoxad.com,9,2.725480556997868,legit
nodaroh.com,7,2.521640636343318,legit
fulaf.site,5,1.9219280948873623,legit
mowiqo.co,6,2.2516291673878226,legit
zinocuc.co,7,2.5216406363433186,legit
6u1f35shpwjmz61dvtgaa3rf3m.info,26,4.132944044980959,dga
newo4ki7j5ao9x3m.com,16,3.875,dga
lurocamije.top,10,3.321928094887362,legit
madiwov.co,7,2.807354922057604,legit
belokaquxo.io,10,3.121928094887362,legit
fobewuqug.biz,9,2.94770277922009,legit
jirasuqovow.io,11,3.2776134368191157,legit
a7k2x0241cutp5bf.org,16,3.875,dga
tariqa.com,6,2.2516291673878226,legit
lzc2bdy9nnb5vbm99dwoixfa.org,24,4.0220552088742005,dga
wagun-rir.org,9,2.94770277922009,legit
sanamawu.net,8,2.4056390622295662,legit
sw9n8p2dpf7jrmlbiigd2.ai,21,4.011365041826379,dga
wulumeniko.co,10,3.121928094887362,legit
napukukayiji.biz,12,2.918295834054489,legit
gj8cflaluzz5f.site,13,3.238901256602631,dga
bafaheroc.top,9,2.94770277922009,legit
falapez.info,7,2.5216406363433186,legit
hkbf3gzwhezxp6bibe.net,18,3.5724312513221195,dga
wirife.top,6,2.2516291673878226,legit
yuqogal.biz,7,2.807354922057604,legit
nopuyebitoxo.info,12,3.188721875540867,legit
